zipcode,caseid,cutoffym,mean_commute
30401,80597445,201212,26.9425042589438
30401,83594520,201212,26.9425042589438
30401,83605097,201211,26.9425042589438
30401,86788946,201301,26.9425042589438
30401,88075529,201212,26.9425042589438
30401,89009044,201212,26.9425042589438
30401,89840153,201212,26.9425042589438
30401,90297203,201204,26.9425042589438
30401,91317201,201211,26.9425042589438
30401,92997552,201207,26.9425042589438
30401,93507471,201205,26.9425042589438
30401,93627379,201207,26.9425042589438
30401,93774460,201209,26.9425042589438
30401,93794217,201207,26.9425042589438
30401,94065101,201207,26.9425042589438
30410,91583510,201208,24.6772875816994
30410,92493009,201206,24.6772875816994
30411,84726841,201303,22.6358234295416
30411,84750604,201301,22.6358234295416
30411,87115941,201212,22.6358234295416
30411,90217827,201206,22.6358234295416
30411,90512997,201209,22.6358234295416
30411,90900316,201204,22.6358234295416
30411,90917220,201209,22.6358234295416
30411,92228500,201209,22.6358234295416
30411,93949576,201207,22.6358234295416
30411,94099085,201205,22.6358234295416
30411,94369555,201209,22.6358234295416
30417,85015551,201301,22.5971967513754
30417,86273518,201303,22.5971967513754
30417,86767156,201211,22.5971967513754
30417,87139974,201211,22.5971967513754
30417,87617182,201302,22.5971967513754
30417,91314741,201204,22.5971967513754
30417,91441722,201209,22.5971967513754
30417,91740096,201211,22.5971967513754
30417,92639937,201205,22.5971967513754
30417,93102803,201205,22.5971967513754
30417,93674234,201207,22.5971967513754
30417,93743916,201205,22.5971967513754
30417,93797384,201208,22.5971967513754
30417,94385845,201205,22.5971967513754
30420,84688501,201303,28.4725130890052
30420,86164036,201211,28.4725130890052
30420,90365764,201204,28.4725130890052
30420,94260821,201210,28.4725130890052
30421,82736592,201302,26.8946793002915
30421,91874517,201208,26.8946793002915
30421,94913631,201204,26.8946793002915
30423,92990816,201211,23.265625
30427,81273858,201212,24.8948692152918
30427,81819162,201211,24.8948692152918
30427,84018975,201301,24.8948692152918
30427,84591571,201212,24.8948692152918
30427,85582978,201211,24.8948692152918
30427,87671616,201212,24.8948692152918
30427,88093448,201303,24.8948692152918
30427,90387850,201209,24.8948692152918
30427,90917837,201207,24.8948692152918
30427,91598475,201205,24.8948692152918
30427,91622183,201206,24.8948692152918
30427,91816544,201205,24.8948692152918
30427,91872979,201210,24.8948692152918
30427,92306239,201209,24.8948692152918
30427,94724341,201210,24.8948692152918
30428,81409460,201302,25.7050561797753
30428,83178809,201211,25.7050561797753
30428,83219122,201302,25.7050561797753
30428,85085714,201212,25.7050561797753
30428,90028630,201206,25.7050561797753
30428,90330016,201209,25.7050561797753
30428,91032465,201211,25.7050561797753
30428,91617349,201209,25.7050561797753
30428,91810720,201209,25.7050561797753
30428,92793419,201209,25.7050561797753
30436,81143504,201302,21.5962285714286
30436,82372721,201302,21.5962285714286
30436,82919386,201212,21.5962285714286
30436,82953465,201212,21.5962285714286
30436,83564701,201302,21.5962285714286
30436,84514749,201301,21.5962285714286
30436,84665641,201301,21.5962285714286
30436,89731617,201212,21.5962285714286
30436,90180903,201207,21.5962285714286
30436,90247141,201207,21.5962285714286
30436,90846236,201204,21.5962285714286
30436,91384856,201205,21.5962285714286
30436,91731030,201208,21.5962285714286
30436,91920106,201211,21.5962285714286
30436,91958752,201209,21.5962285714286
30436,92006801,201208,21.5962285714286
30436,92767728,201207,21.5962285714286
30436,93168274,201207,21.5962285714286
30436,94181609,201206,21.5962285714286
30436,94203042,201209,21.5962285714286
30436,94693429,201208,21.5962285714286
30439,80013356,201212,26.0648306117475
30439,83798805,201212,26.0648306117475
30439,86401807,201301,26.0648306117475
30439,87051683,201212,26.0648306117475
30439,88070506,201302,26.0648306117475
30439,89144712,201301,26.0648306117475
30439,89153152,201211,26.0648306117475
30439,89956764,201211,26.0648306117475
30439,90080562,201207,26.0648306117475
30439,90211807,201205,26.0648306117475
30439,90856114,201209,26.0648306117475
30439,90984585,201209,26.0648306117475
30439,91544678,201207,26.0648306117475
30439,91562029,201210,26.0648306117475
30439,91819808,201208,26.0648306117475
30439,91894476,201207,26.0648306117475
30439,92402225,201208,26.0648306117475
30439,92491993,201210,26.0648306117475
30439,92619144,201210,26.0648306117475
30439,92891874,201211,26.0648306117475
30439,93136871,201207,26.0648306117475
30439,94794399,201206,26.0648306117475
30441,80826574,201212,34.4407407407407
30441,94731291,201207,34.4407407407407
30445,87765038,201301,23.3158526821457
30445,88310341,201302,23.3158526821457
30445,92851038,201210,23.3158526821457
30445,93248055,201208,23.3158526821457
30445,94422094,201209,23.3158526821457
30445,94780909,201208,23.3158526821457
30445,94781607,201207,23.3158526821457
30445,94932593,201209,23.3158526821457
30450,91148142,201201,30.1969353007946
30453,82474894,201301,29.3585784313726
30453,82516963,201303,29.3585784313726
30453,85811173,201211,29.3585784313726
30453,87936388,201212,29.3585784313726
30457,81648616,201301,29.5121407333994
30457,82210980,201212,29.5121407333994
30457,87457173,201212,29.5121407333994
30457,89261833,201212,29.5121407333994
30457,90007206,201204,29.5121407333994
30457,90757903,201209,29.5121407333994
30457,91001498,201204,29.5121407333994
30457,92454297,201204,29.5121407333994
30457,93840730,201204,29.5121407333994
30457,94004100,201207,29.5121407333994
30457,94225213,201209,29.5121407333994
30457,94256534,201210,29.5121407333994
30458,83995024,201207,19.5242645209957
30458,84613259,201207,19.5242645209957
30458,84900258,201207,19.5242645209957
30464,80244785,201302,28.3
30464,85024012,201301,28.3
30467,81643844,201207,29.2554479418886
30470,89039519,201211,29.8666666666667
30470,90870428,201207,29.8666666666667
30470,92800979,201210,29.8666666666667
30470,93839154,201208,29.8666666666667
30471,91753519,201210,27.1080832823025
30471,93581846,201210,27.1080832823025
30471,93740504,201209,27.1080832823025
30473,89509601,201212,29.9744160177976
30473,90162301,201205,29.9744160177976
30473,91370475,201205,29.9744160177976
30473,92354614,201207,29.9744160177976
30473,92373071,201210,29.9744160177976
30473,93016450,201207,29.9744160177976
30473,94266720,201210,29.9744160177976
30474,83972605,201212,22.5186127903277
30474,88880200,201211,22.5186127903277
30474,89708673,201211,22.5186127903277
30474,89789476,201301,22.5186127903277
30474,90405642,201209,22.5186127903277
30474,92483073,201206,22.5186127903277
30474,93489148,201211,22.5186127903277
30474,94407206,201206,22.5186127903277
30474,94901571,201204,22.5186127903277
30501,81724622,201207,24.96735128851
30501,85187029,201207,24.96735128851
30501,86700274,201207,24.96735128851
30504,80171975,201207,24.9819703157685
30506,81277294,201207,30.4177423940859
30506,89705690,201207,30.4177423940859
30506,90341450,201201,30.4177423940859
30506,90726749,201201,30.4177423940859
30507,81684753,201207,26.3143523719001
30507,82587963,201207,26.3143523719001
30507,93110974,201201,26.3143523719001
30511,84948867,201207,25.3255639097744
30512,91223870,201201,25.3578385171222
30512,91543411,201201,25.3578385171222
30512,94975974,201201,25.3578385171222
30513,85635034,201207,26.3621621621622
30513,89921418,201207,26.3621621621622
30513,94445020,201201,26.3621621621622
30518,81177406,201207,31.8275410677618
30518,84149020,201207,31.8275410677618
30518,87375969,201207,31.8275410677618
30519,92372506,201201,35.4327157484154
30521,90918665,201201,31.9218381775334
30522,92626825,201201,34.5068259385666
30523,87916812,201207,26.6061326091876
30528,81039568,201207,31.1402122375254
30528,91140182,201201,31.1402122375254
30530,86788562,201207,30.0634498480243
30531,90510984,201201,23.5371456500489
30533,80792138,201207,31.1744368537666
30533,81226108,201207,31.1744368537666
30533,83036806,201207,31.1744368537666
30533,91052959,201201,31.1744368537666
30533,92183805,201201,31.1744368537666
30534,90043147,201201,34.5477687267576
30534,92046423,201201,34.5477687267576
30534,94304725,201201,34.5477687267576
30535,91438281,201201,24.6747725682295
30536,86597670,201207,31.6566678093932
30538,86996312,201207,25.7505854800937
30540,87223743,201207,28.7507972665148
30540,93518431,201201,28.7507972665148
30542,90954690,201201,30.0471512124598
30546,81787243,201207,22.2840222944728
30549,82372682,201207,33.5169803158123
30553,90693627,201201,22.8085891954917
30558,85177039,201207,33.8265673175745
30558,94754487,201201,33.8265673175745
30563,93596073,201201,29.9184109354977
30577,90278408,201201,23.3906397544854
30577,92057812,201201,23.3906397544854
30577,93432304,201201,23.3906397544854
30601,91336613,201201,20.9995791245791
30605,81539228,201207,21.3304400241109
30605,81710429,201207,21.3304400241109
30605,83742590,201207,21.3304400241109
30605,85058530,201207,21.3304400241109
30606,80573168,201207,20.7761025861144
30606,92813399,201201,20.7761025861144
30620,85554902,201207,40.9086269978818
30631,93286963,201201,31.874358974359
30635,93325723,201201,21.3734961075725
30642,94067280,201201,23.8227040816327
30643,92067839,201201,24.6900907311866
30643,94083020,201201,24.6900907311866
30648,85364071,201207,31.7248803827751
30650,80208684,201207,26.1173708920188
30650,91413729,201201,26.1173708920188
30655,80858669,201207,29.9138888888889
30655,84916437,201207,29.9138888888889
30655,93046318,201201,29.9138888888889
30666,90768093,201201,36.2037859007833
30673,85095179,201207,27.726
30677,85059014,201207,25.8250773993808
30677,90540422,201201,25.8250773993808
30677,94893519,201201,25.8250773993808
30701,92836008,201201,23.3974055870093
30705,93261791,201201,26.8848607437374
30721,82823063,201207,22.4502677702045
30721,86933401,201207,22.4502677702045
30721,91778222,201201,22.4502677702045
30728,90559518,201201,27.1729080932785
30728,93616971,201201,27.1729080932785
30733,81457528,201207,28.6687388987567
30736,84981565,201207,25.895148004464
30738,82927242,201207,36.5577411167513
30741,81190900,201207,24.0298897509187
30741,85640065,201207,24.0298897509187
30741,87106305,201207,24.0298897509187
30747,82619828,201207,26.0379574003277
30750,87877388,201207,22.4970382337103
30752,92979839,201201,28.6947013246688
30809,91371856,201201,28.9211437565582
30809,94523638,201201,28.9211437565582
30813,82043218,201207,25.1081555306008
30814,86268587,201207,28.032892804699
30815,83743195,201207,25.8887602061498
30815,92085758,201201,25.8887602061498
30817,86124179,201207,34.7892074198988
30823,89191631,201207,29.7766457680251
30824,81392535,201207,26.3975021533161
30830,85574937,201207,26.122700020674
30901,93787808,201201,21.1999765972385
30904,82447843,201207,19.7808804531452
30904,90921683,201201,19.7808804531452
30906,80485261,201207,23.3165751622124
30906,82840958,201207,23.3165751622124
30906,84393261,201207,23.3165751622124
30906,85553549,201207,23.3165751622124
30906,91226095,201201,23.3165751622124
30906,93596756,201201,23.3165751622124
30906,93741734,201201,23.3165751622124
30907,82675833,201207,23.3710005628437
30907,84273363,201207,23.3710005628437
30907,86391896,201207,23.3710005628437
30907,86597317,201207,23.3710005628437
30907,88473237,201207,23.3710005628437
30907,89485415,201207,23.3710005628437
30909,84797328,201207,21.1650863250206
30909,89256950,201207,21.1650863250206
30909,89466012,201207,21.1650863250206
30909,91939416,201201,21.1650863250206
31001,80496333,201212,24.1240179573513
31001,87264371,201303,24.1240179573513
31001,88993249,201301,24.1240179573513
31001,90608658,201207,24.1240179573513
31001,92877346,201205,24.1240179573513
31002,80576842,201303,28.3084714548803
31002,86821562,201211,28.3084714548803
31002,92489927,201208,28.3084714548803
31003,85797688,201301,26.5555555555556
31005,82911513,201212,23.1690351533283
31005,84904809,201212,23.1690351533283
31005,90254420,201207,23.1690351533283
31005,90301481,201204,23.1690351533283
31005,94262375,201210,23.1690351533283
31005,94477946,201210,23.1690351533283
31006,85527858,201303,33.2320369149637
31006,87967494,201212,33.2320369149637
31007,90185588,201210,30.9738903394256
31008,82243090,201211,24.9079126033823
31008,83055450,201212,24.9079126033823
31008,83106231,201301,24.9079126033823
31008,83490042,201302,24.9079126033823
31008,84701035,201301,24.9079126033823
31008,85730621,201301,24.9079126033823
31008,85999549,201303,24.9079126033823
31008,86049021,201303,24.9079126033823
31008,86761976,201212,24.9079126033823
31008,89286292,201212,24.9079126033823
31008,90011744,201207,24.9079126033823
31008,90212505,201204,24.9079126033823
31008,90557710,201207,24.9079126033823
31008,90639175,201206,24.9079126033823
31008,90896325,201207,24.9079126033823
31008,90910070,201207,24.9079126033823
31008,91758765,201207,24.9079126033823
31008,91816302,201207,24.9079126033823
31008,92668003,201207,24.9079126033823
31008,93024941,201204,24.9079126033823
31008,93267597,201209,24.9079126033823
31011,86891743,201301,23.7909319899244
31011,94704316,201206,23.7909319899244
31012,81076705,201303,34.0360983102919
31012,87781207,201212,34.0360983102919
31012,94736652,201205,34.0360983102919
31014,83632253,201212,30.1519756838906
31014,84637778,201211,30.1519756838906
31014,87124680,201212,30.1519756838906
31014,88400934,201301,30.1519756838906
31014,90193725,201209,30.1519756838906
31014,91367541,201210,30.1519756838906
31014,91465380,201206,30.1519756838906
31014,92154216,201205,30.1519756838906
31014,92800308,201207,30.1519756838906
31014,93471657,201211,30.1519756838906
31014,93490537,201208,30.1519756838906
31014,93561503,201210,30.1519756838906
31014,93569675,201208,30.1519756838906
31014,93621528,201205,30.1519756838906
31014,93685838,201209,30.1519756838906
31014,94058961,201206,30.1519756838906
31014,94205372,201208,30.1519756838906
31014,94305740,201205,30.1519756838906
31014,94432981,201208,30.1519756838906
31014,94524989,201208,30.1519756838906
31015,80929327,201212,20.1498465080583
31015,81439506,201301,20.1498465080583
31015,82728252,201303,20.1498465080583
31015,84201151,201302,20.1498465080583
31015,84348542,201301,20.1498465080583
31015,85079393,201301,20.1498465080583
31015,87764330,201301,20.1498465080583
31015,88841555,201303,20.1498465080583
31015,89448175,201211,20.1498465080583
31015,89595574,201301,20.1498465080583
31015,90323951,201204,20.1498465080583
31015,90834662,201205,20.1498465080583
31015,90899054,201204,20.1498465080583
31015,91097893,201204,20.1498465080583
31015,91125826,201207,20.1498465080583
