caseid,wgt,month,year,trips_single,trips_md,des_name,des_direction,des_address,des_primary_city,des_secondary_city,des_state,des_county,des_zipcode,site_id_agg,lat_lon_des,lat_lon_des_agg,days,es_origin,es_origin_zip,es_origin_city,es_origin_state,md_days_rec,travel_others,travel_others_num
86720919,2487.872,3,2013,1,0,"","","","FERNANDINA BEACH","","FL","","",81,"30.6699N,81.4636W","30.6699N,81.4636W",1,0,"-1","-1","-1",-1,2,2
86720919,6300.8552,5,2013,.75153722,0,"","","","SAINT MARYS","","GA","CAMDEN","",82,"30.7311N,81.5460W","31.1352N,81.4005W",,0,"-1","-1","-1",,,
86720919,2487.872,3,2013,1.3238286,0,"","","","SAINT MARYS","","GA","CAMDEN","",82,"30.7311N,81.5460W","31.1352N,81.4005W",,0,"-1","-1","-1",,,
86720919,2459.4843,4,2013,3.8492683,0,"","","","FERNANDINA BEACH","","FL","","",81,"30.6699N,81.4636W","30.6699N,81.4636W",,0,"-1","-1","-1",,,
86720919,6300.8552,5,2013,1,0,"","","","SAINT MARYS","","GA","CAMDEN","",82,"30.7311N,81.5460W","31.1352N,81.4005W",1,0,"-1","-1","-1",-1,1,-1
86720919,6300.8552,5,2013,1.5030744,0,"","","","FERNANDINA BEACH","","FL","","",81,"30.6699N,81.4636W","30.6699N,81.4636W",,0,"-1","-1","-1",,,
86720919,6300.8552,5,2013,1,0,"","","","FERNANDINA BEACH","","FL","","",81,"30.6699N,81.4636W","30.6699N,81.4636W",1,0,"-1","-1","-1",-1,1,-1
86720919,2487.872,3,2013,2.6476572,0,"","","","FERNANDINA BEACH","","FL","","",81,"30.6699N,81.4636W","30.6699N,81.4636W",,0,"-1","-1","-1",,,
86721934,992.08152,3,2013,1,0,"","","","PANAMA CITY BEACH","","FL","","",31,"30.1916N,85.8324W","30.1916N,85.8324W",1,0,"-1","-1","-1",-1,2,3
86721934,992.08152,3,2013,1,0,"","","","PANAMA CITY BEACH","","FL","","",31,"30.1916N,85.8324W","30.1916N,85.8324W",1,0,"-1","-1","-1",-1,2,1
86724458,2659.2879,3,2013,1,0,"","","","CLEARWATER BEACH","","FL","PINELLAS","",44,"28.0000N,82.8286W","28.0000N,82.8286W",1,0,"-1","-1","-1",-1,2,2
86736200,121050.84,3,2013,1,0,"JAMAICA BEACH","","","","","TX","","",6,"29.1816N,94.9718W","29.2953N,94.8079W",1,0,"-1","-1","-1",-1,2,1
86767370,1204.1083,1,2013,1,0,"","","","DESTIN","","FL","OKALOOSA","",27,"30.3929N,86.4957W","30.3929N,86.4957W",1,0,"-1","-1","-1",-1,2,1
86768546,5067.5806,1,2013,.5133006,0,"DELRAY BEACH","","","","","FL","","",66,"26.4728N,80.0557W","26.4728N,80.0557W",,0,"-1","-1","-1",,,
86768546,5067.5806,1,2013,1,0,"BOYNTON BEACH MUNICIPAL","","","BOYNTON BEACH","","FL","","",66,"26.5279N,80.0472W","26.4728N,80.0557W",1,0,"-1","-1","-1",-1,2,-8
86768546,5067.5806,1,2013,1.5399018,0,"BOYNTON BEACH MUNICIPAL","","","BOYNTON BEACH","","FL","","",66,"26.5279N,80.0472W","26.4728N,80.0557W",,0,"-1","-1","-1",,,
86768546,6250.7759,12,2012,.4866994,0,"DELRAY BEACH","","","","","FL","","",66,"26.4728N,80.0557W","26.4728N,80.0557W",,0,"-1","-1","-1",,,
86768546,6250.7759,12,2012,.4866994,0,"","","","LAKE WORTH","","FL","PALM BEACH","",66,"26.6162N,80.0572W","26.4728N,80.0557W",,0,"-1","-1","-1",,,
86768546,5067.5806,1,2013,.5133006,0,"","","","LAKE WORTH","","FL","PALM BEACH","",66,"26.6162N,80.0572W","26.4728N,80.0557W",,0,"-1","-1","-1",,,
86768546,5067.5806,1,2013,1,0,"BOYNTON BEACH MUNICIPAL","","","BOYNTON BEACH","","FL","","",66,"26.5279N,80.0472W","26.4728N,80.0557W",1,0,"-1","-1","-1",-1,2,2
86768546,5067.5806,1,2013,1,0,"BOYNTON BEACH MUNICIPAL","","","BOYNTON BEACH","","FL","","",66,"26.5279N,80.0472W","26.4728N,80.0557W",1,0,"-1","-1","-1",-1,2,2
86768546,6250.7759,12,2012,1.4600982,0,"BOYNTON BEACH MUNICIPAL","","","BOYNTON BEACH","","FL","","",66,"26.5279N,80.0472W","26.4728N,80.0557W",,0,"-1","-1","-1",,,
