ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
01245,38340,1.000000000,1.000000000,0.000000000,1.000000000
01247,38340,1.000000000,1.000000000,1.000000000,1.000000000
01252,38340,0.000000000,0.000000000,1.000000000,1.000000000
01253,38340,1.000000000,1.000000000,1.000000000,1.000000000
01254,38340,1.000000000,1.000000000,1.000000000,1.000000000
01255,38340,1.000000000,1.000000000,0.000000000,1.000000000
01256,38340,1.000000000,1.000000000,1.000000000,1.000000000
01257,38340,1.000000000,1.000000000,1.000000000,1.000000000
01258,38340,1.000000000,1.000000000,1.000000000,1.000000000
01259,38340,1.000000000,1.000000000,1.000000000,1.000000000
01260,38340,1.000000000,0.000000000,1.000000000,1.000000000
01262,38340,1.000000000,1.000000000,1.000000000,1.000000000
01263,38340,0.000000000,1.000000000,0.000000000,1.000000000
01264,38340,1.000000000,0.000000000,1.000000000,1.000000000
01266,38340,1.000000000,1.000000000,1.000000000,1.000000000
01267,38340,1.000000000,1.000000000,1.000000000,1.000000000
01270,38340,1.000000000,1.000000000,1.000000000,1.000000000
01301,44140,1.000000000,1.000000000,1.000000000,1.000000000
01302,44140,1.000000000,1.000000000,1.000000000,1.000000000
01330,44140,1.000000000,1.000000000,1.000000000,1.000000000
01331,44140,0.000997672,0.002564103,0.000000000,0.001062054
01331,49340,0.999002328,0.997435897,1.000000000,0.998937946
01337,44140,1.000000000,1.000000000,1.000000000,1.000000000
01338,44140,1.000000000,1.000000000,1.000000000,1.000000000
01339,44140,1.000000000,1.000000000,1.000000000,1.000000000
01340,44140,1.000000000,1.000000000,1.000000000,1.000000000
01341,44140,1.000000000,1.000000000,1.000000000,1.000000000
01342,44140,1.000000000,1.000000000,1.000000000,1.000000000
01343,38340,1.000000000,1.000000000,1.000000000,1.000000000
01344,44140,1.000000000,1.000000000,1.000000000,1.000000000
01346,44140,1.000000000,0.000000000,1.000000000,1.000000000
01347,44140,0.000000000,0.000000000,1.000000000,1.000000000
01349,44140,1.000000000,1.000000000,1.000000000,1.000000000
01350,44140,0.000000000,0.000000000,1.000000000,1.000000000
01351,44140,1.000000000,1.000000000,1.000000000,1.000000000
01354,44140,1.000000000,1.000000000,1.000000000,1.000000000
01355,44140,1.000000000,1.000000000,1.000000000,1.000000000
01360,44140,1.000000000,1.000000000,1.000000000,1.000000000
01364,44140,0.999172642,1.000000000,1.000000000,0.999273608
01364,49340,0.000827358,0.000000000,0.000000000,0.000726392
01366,49340,1.000000000,1.000000000,1.000000000,1.000000000
01367,44140,0.929054054,0.909090909,1.000000000,0.929032258
01367,38340,0.070945946,0.090909091,0.000000000,0.070967742
01368,49340,1.000000000,1.000000000,1.000000000,1.000000000
01370,44140,1.000000000,1.000000000,1.000000000,1.000000000
01373,44140,1.000000000,1.000000000,1.000000000,1.000000000
01375,44140,1.000000000,1.000000000,1.000000000,1.000000000
01376,44140,1.000000000,1.000000000,1.000000000,1.000000000
01378,44140,1.000000000,1.000000000,1.000000000,1.000000000
01379,44140,1.000000000,0.000000000,1.000000000,1.000000000
01380,44140,1.000000000,0.000000000,1.000000000,1.000000000
01420,49340,1.000000000,1.000000000,1.000000000,1.000000000
01430,49340,1.000000000,1.000000000,1.000000000,1.000000000
01431,15764,1.000000000,1.000000000,1.000000000,1.000000000
01432,15764,1.000000000,1.000000000,1.000000000,1.000000000
